Question,Answer
I love New Zealand,How lovely!
I love to be surprised,How lovely!
I love to collect comic books,How lovely!
I love to cook,How lovely!
I love to cuddle,How lovely!
I love to dance,How lovely!
I love to do laundry,How lovely!
I love to fold clothing,How lovely!
I love to draw,How lovely!
I love to exercise,How lovely!
I love to drink,How lovely!
I love to drink beer,How lovely!
I love to drink tea,How lovely!
I love to drink wine,How lovely!
I love to eat,How lovely!
I love to eat breakfast,How lovely!
I love to play pool,How lovely!
I love to do yoga,How lovely!
I love watching soccer,How lovely!
I love to play piano,How lovely!
I love trees,How lovely!
I love trivia,How lovely!
I love tuesdays,How lovely!
I love Vegas,How lovely!
I love video games,How lovely!
I love walking,How lovely!
I love tomatoes,How lovely!
I love watching football,How lovely!
I love Tokyo,How lovely!
I love watching TV,How lovely!
I love water,How lovely!
I love wednesdays,How lovely!
I love weed,How lovely!
I love wine,How lovely!
I love woodworking,How lovely!
I love working out,How lovely!
I love watching baseball,How lovely!
I love to stay up late,How lovely!
I love this song,How lovely!
I love to play sports,How lovely!
I love to play video games,How lovely!
I love to read the news,How lovely!
I love to ride my bike,How lovely!
I love to sing,How lovely!
I love to sleep,How lovely!
I love traveling,How lovely!
I love to smoke,How lovely!
I love to play poker,How lovely!
I love to tidy up,How lovely!
I love to travel,How lovely!
I love to try new restaurants,How lovely!
I love to try new things,How lovely!
I love to wake up early,How lovely!
I love to walk in the park,How lovely!
I love to work out,How lovely!
I love to sleep in,How lovely!
I love running,How lovely!
I love puzzles,How lovely!
I love rainy days,How lovely!
I love rap,How lovely!
I love reading,How lovely!
I love rings,How lovely!
I love rock climbing,How lovely!
I love to barbecue,How lovely!
I love romantic comedies,How lovely!
I love pop,How lovely!
I love sailing,How lovely!
I love San Diego,How lovely!
I love saturdays,How lovely!
I love science fiction,How lovely!
I love sculpting,How lovely!
I love Seattle,How lovely!
I love sewing,How lovely!
I love romance novels,How lovely!
I love playing football,How lovely!
I'm in love,How lovely!
I love origami,How lovely!
I love painting,How lovely!
I love Paris,How lovely!
I love peanut butter,How lovely!
I love penguins,How lovely!
I love pineapple,How lovely!
I love pumpkin pie,How lovely!
I love playing baseball,How lovely!
I love pot,How lovely!
I love playing soccer,How lovely!
I love playing video games,How lovely!
I love podcasts,How lovely!
I love poetry,How lovely!
I love politics,How lovely!
I love ponies,How lovely!
I love sleeping in,How lovely!
I love pizza,How lovely!
I love the smell of fresh baked bread,How lovely!
I love shopping,How lovely!
I love the Fourth of July,How lovely!
I love the future,How lovely!
I love the Grand Canyon,How lovely!
I love the holiday seasons,How lovely!
I love the holidays,How lovely!
I love the library,How lovely!
I love the constitution,How lovely!
I love the past,How lovely!
I love that song,How lovely!
I love the smell of the rain,How lovely!
I love the spring,How lovely!
I love the stars,How lovely!
I love the summer,How lovely!
I love the sun,How lovely!
I love the winter,How lovely!
I love the zoo,How lovely!
I love the moon,How lovely!
I love tacos,How lovely!
I love NOLA,How lovely!
I love smoking,How lovely!
I love smooth jazz,How lovely!
I love strawberries,How lovely!
I love stuffed animals,How lovely!
I love sundays,How lovely!
I love sunny days,How lovely!
I love the fall,How lovely!
I love swimming,How lovely!
I love skiing,How lovely!
I love taking baths,How lovely!
I love talk shows,How lovely!
I love teriyaki,How lovely!
I love Thai food,How lovely!
I love Thanksgiving,How lovely!
I love that movie,How lovely!
I love that show,How lovely!
I love sushi,How lovely!
I wish I could stop feeling unhappy,I'm wishing for really good things for you.
I wish I could stop feeling downcast,I'm wishing for really good things for you.
I wish I could stop feeling downhearted,I'm wishing for really good things for you.
I wish I could stop feeling gloomy,I'm wishing for really good things for you.
I wish I could stop feeling glum,I'm wishing for really good things for you.
I wish I could stop feeling inconsolable,I'm wishing for really good things for you.
I wish I could stop feeling melancholy,I'm wishing for really good things for you.
I'm despairing,I'm wishing for really good things for you.
I wish I could stop feeling sad,I'm wishing for really good things for you.
I wish I could stop feeling despairing,I'm wishing for really good things for you.
I'm blue,I'm wishing for really good things for you.
I'm blue today,I'm wishing for really good things for you.
I'm broken hearted,I'm wishing for really good things for you.
I'm broken hearted today,I'm wishing for really good things for you.
I'm dejected,I'm wishing for really good things for you.
Being sad is the worst,I'm wishing for really good things for you.
I wish I could stop feeling miserable,I'm wishing for really good things for you.
I hate depression,I'm wishing for really good things for you.
I feel miserable,I'm wishing for really good things for you.
I feel miserable today,I'm wishing for really good things for you.
I feel pretty bummed out,I'm wishing for really good things for you.
I feel sad,I'm wishing for really good things for you.
I feel sad today,I'm wishing for really good things for you.
I feel unhappy,I'm wishing for really good things for you.
I wish I could stop feeling down,I'm wishing for really good things for you.
I am depressed,I'm wishing for really good things for you.
I wish I could stop feeling despondent,I'm wishing for really good things for you.
I hate feeling down ,I'm wishing for really good things for you.
I hate feeling sad constantly,I'm wishing for really good things for you.
I hate feeling sad every day,I'm wishing for really good things for you.
I wish I could stop feeling blue,I'm wishing for really good things for you.
I wish I could stop feeling broken hearted,I'm wishing for really good things for you.
I wish I could stop feeling dejected,I'm wishing for really good things for you.
I'm despondent,I'm wishing for really good things for you.
I feel unhappy today,I'm wishing for really good things for you.
I'm feeling in despair today,I'm wishing for really good things for you.
I'm feeling downcast today,I'm wishing for really good things for you.
I'm feeling downhearted today,I'm wishing for really good things for you.
I'm feeling dumps,I'm wishing for really good things for you.
I'm feeling gloomy,I'm wishing for really good things for you.
I'm feeling gloomy today,I'm wishing for really good things for you.
I'm feeling glum,I'm wishing for really good things for you.
I'm dejected today,I'm wishing for really good things for you.
I'm feeling hopeless,I'm wishing for really good things for you.
I'm feeling despondent today,I'm wishing for really good things for you.
I'm feeling inconsolable today,I'm wishing for really good things for you.
I'm feeling melancholy today,I'm wishing for really good things for you.
I'm feeling miserable today,I'm wishing for really good things for you.
I'm feeling out,I'm wishing for really good things for you.
I'm feeling sad,I'm wishing for really good things for you.
I'm feeling sad today,I'm wishing for really good things for you.
I'm feeling glum today,I'm wishing for really good things for you.
I'm feeling blue,I'm wishing for really good things for you.
I'm despondent today,I'm wishing for really good things for you.
I'm down,I'm wishing for really good things for you.
I'm down today,I'm wishing for really good things for you.
I'm downcast,I'm wishing for really good things for you.
I'm downcast today,I'm wishing for really good things for you.
I'm downhearted,I'm wishing for really good things for you.
I'm feeling down today,I'm wishing for really good things for you.
I'm feeling a little down today,I'm wishing for really good things for you.
I'm feeling down,I'm wishing for really good things for you.
I'm feeling blue today,I'm wishing for really good things for you.
I'm feeling broken hearted,I'm wishing for really good things for you.
I'm feeling broken hearted today,I'm wishing for really good things for you.
I'm feeling bummed today,I'm wishing for really good things for you.
I'm feeling dejected,I'm wishing for really good things for you.
I'm feeling dejected today,I'm wishing for really good things for you.
I feel inconsolable today,I'm wishing for really good things for you.
I'm downhearted today,I'm wishing for really good things for you.
I am usually bummed out,I'm wishing for really good things for you.
I am in despair,I'm wishing for really good things for you.
I am inconsolable,I'm wishing for really good things for you.
I am melancholy,I'm wishing for really good things for you.
I am miserable,I'm wishing for really good things for you.
I am sad,I'm wishing for really good things for you.
I am so utterly bummed out,I'm wishing for really good things for you.
I feel melancholy today,I'm wishing for really good things for you.
I am unhappy,I'm wishing for really good things for you.
I am feeling broken hearted,I'm wishing for really good things for you.
I am usually sad,I'm wishing for really good things for you.
I can't stand feeling so blue,I'm wishing for really good things for you.
I can't stand feeling so broken hearted,I'm wishing for really good things for you.
I can't stand feeling so dejected,I'm wishing for really good things for you.
I can't stand feeling so despairing,I'm wishing for really good things for you.
I can't stand feeling so despondent,I'm wishing for really good things for you.
I am the saddest person in the world,I'm wishing for really good things for you.
I am dejected,I'm wishing for really good things for you.
Depression is such a bummer,I'm wishing for really good things for you.
Depression is the worst,I'm wishing for really good things for you.
Every day I feel down,I'm wishing for really good things for you.
Feeling down is the worst,I'm wishing for really good things for you.
Being depressed is the worst,I'm wishing for really good things for you.
I am always sad,I'm wishing for really good things for you.
I am glum,I'm wishing for really good things for you.
I am broken hearted,I'm wishing for really good things for you.
I am gloomy,I'm wishing for really good things for you.
I am always depressed,I'm wishing for really good things for you.
I am despondent,I'm wishing for really good things for you.
I am down,I'm wishing for really good things for you.
I am down in the dumps,I'm wishing for really good things for you.
I am downcast,I'm wishing for really good things for you.
I am downhearted,I'm wishing for really good things for you.
I can't stand feeling so downhearted,I'm wishing for really good things for you.
I am blue,I'm wishing for really good things for you.
I feel downhearted today,I'm wishing for really good things for you.
I can't stand feeling so down,I'm wishing for really good things for you.
I feel despondent today,I'm wishing for really good things for you.
I feel down,I'm wishing for really good things for you.
I feel down in the dumps,I'm wishing for really good things for you.
I feel down today,I'm wishing for really good things for you.
I feel downcast,I'm wishing for really good things for you.
I feel dejected today,I'm wishing for really good things for you.
I feel downhearted,I'm wishing for really good things for you.
I feel dejected,I'm wishing for really good things for you.
I feel gloomy,I'm wishing for really good things for you.
I feel gloomy today,I'm wishing for really good things for you.
I feel glum,I'm wishing for really good things for you.
I feel glum today,I'm wishing for really good things for you.
I feel hopeless,I'm wishing for really good things for you.
I feel inconsolable,I'm wishing for really good things for you.
I'm full of sadness,I'm wishing for really good things for you.
I feel downcast today,I'm wishing for really good things for you.
I couldn't be more dejected,I'm wishing for really good things for you.
I feel melancholy,I'm wishing for really good things for you.
I can't stand feeling so gloomy,I'm wishing for really good things for you.
I can't stand feeling so glum,I'm wishing for really good things for you.
I can't stand feeling so inconsolable,I'm wishing for really good things for you.
I can't stand feeling so melancholy,I'm wishing for really good things for you.
I can't stand feeling so miserable,I'm wishing for really good things for you.
I feel despondent,I'm wishing for really good things for you.
I can't stand feeling so unhappy,I'm wishing for really good things for you.
I can't stand feeling so downcast,I'm wishing for really good things for you.
I feel blue,I'm wishing for really good things for you.
I feel blue today,I'm wishing for really good things for you.
I feel broken hearted,I'm wishing for really good things for you.
I feel broken hearted today,I'm wishing for really good things for you.
I feel bummed,I'm wishing for really good things for you.
I feel bummed out,I'm wishing for really good things for you.
I feel bummy today,I'm wishing for really good things for you.
I can't stand feeling so sad,I'm wishing for really good things for you.
I hate feeling despondent,I'm wishing for really good things for you.
When will I ever stop feeling so unhappy?,I'm wishing for really good things for you.
I hate feeling sad,I'm wishing for really good things for you.
I hate feeling unhappy,I'm wishing for really good things for you.
I hate feeling miserable,I'm wishing for really good things for you.
I hate feeling blue,I'm wishing for really good things for you.
I hate feeling gloomy,I'm wishing for really good things for you.
Today has made me sad,I'm wishing for really good things for you.
I hate feeling downhearted,I'm wishing for really good things for you.
When will I ever stop feeling so melancholy?,I'm wishing for really good things for you.
I hate feeling glum,I'm wishing for really good things for you.
I hate feeling melancholy,I'm wishing for really good things for you.
I hate feeling like I'm in despair,I'm wishing for really good things for you.
I hate feeling dejected,I'm wishing for really good things for you.
I hate feeling inconsolable,I'm wishing for really good things for you.
I hate feeling like I'm broken hearted,I'm wishing for really good things for you.
I hate feeling downcast,I'm wishing for really good things for you.
When will I ever stop feeling so despondent?,I'm wishing for really good things for you.
I'm feeling unhappy today,I'm wishing for really good things for you.
Today is just a little sad,I'm wishing for really good things for you.
Today made me sad,I'm wishing for really good things for you.
What can I say? I'm just feeling sad,I'm wishing for really good things for you.
When will I ever stop feeling so blue?,I'm wishing for really good things for you.
When will I ever stop feeling so broken hearted?,I'm wishing for really good things for you.
When will I ever stop feeling so sad?,I'm wishing for really good things for you.
When will I ever stop feeling so despairing?,I'm wishing for really good things for you.
When will I ever stop feeling so miserable?,I'm wishing for really good things for you.
When will I ever stop feeling so down?,I'm wishing for really good things for you.
When will I ever stop feeling so downcast?,I'm wishing for really good things for you.
When will I ever stop feeling so downhearted?,I'm wishing for really good things for you.
When will I ever stop feeling so gloomy?,I'm wishing for really good things for you.
When will I ever stop feeling so glum?,I'm wishing for really good things for you.
When will I ever stop feeling so inconsolable?,I'm wishing for really good things for you.
I feel depressed,I'm wishing for really good things for you.
When will I ever stop feeling so dejected?,I'm wishing for really good things for you.
Today is just a little depressed,I'm wishing for really good things for you.
I am usually depressed,I'm wishing for really good things for you.
"Listen, I'm just depressed",I'm wishing for really good things for you.
My life is just depressing,I'm wishing for really good things for you.
My life is so depressed,I'm wishing for really good things for you.
My whole life is depressing,I'm wishing for really good things for you.
Sometimes I just feel depressed,I'm wishing for really good things for you.
Lately I've been so depressed,I'm wishing for really good things for you.
Today has made me depressed,I'm wishing for really good things for you.
I've been depressed all day,I'm wishing for really good things for you.
This week has been depressing,I'm wishing for really good things for you.
Today made me depressed,I'm wishing for really good things for you.
What can I say? I'm just feeling depressed,I'm wishing for really good things for you.
When will I ever stop feeling so depressed?,I'm wishing for really good things for you.
I feel so melancholy,I'm wishing for really good things for you.
My life makes me sad,I'm wishing for really good things for you.
I have no life,I'm wishing for really good things for you.
This week has made me depressed,I'm wishing for really good things for you.
I'm depressed,I'm wishing for really good things for you.
Today has been depressing,I'm wishing for really good things for you.
I feel depressed today,I'm wishing for really good things for you.
I hate being depressed,I'm wishing for really good things for you.
I hate feeling depressed,I'm wishing for really good things for you.
I hate feeling depressed constantly,I'm wishing for really good things for you.
I hate feeling depressed every day,I'm wishing for really good things for you.
Life is so depressing,I'm wishing for really good things for you.
I wish I could stop feeling depressed,I'm wishing for really good things for you.
I can't stand feeling so depressed,I'm wishing for really good things for you.
I'm depressed today,I'm wishing for really good things for you.
I'm feeling depressed,I'm wishing for really good things for you.
I'm feeling depressed today,I'm wishing for really good things for you.
I'm just feeling a bit depressed today,I'm wishing for really good things for you.
I'm really depressed,I'm wishing for really good things for you.
I'm so depressed,I'm wishing for really good things for you.
I'm tired of feeling so depressed all the time,I'm wishing for really good things for you.
Depressing day today,I'm wishing for really good things for you.
I'm tired of feeling so downcast all the time,I'm wishing for really good things for you.
I'm sad today,I'm wishing for really good things for you.
I'm so sad,I'm wishing for really good things for you.
I'm tired of feeling so blue all the time,I'm wishing for really good things for you.
I'm tired of feeling so broken hearted all the time,I'm wishing for really good things for you.
I'm tired of feeling so dejected all the time,I'm wishing for really good things for you.
I'm tired of feeling so despairing all the time,I'm wishing for really good things for you.
Today has me feeling blue,I'm wishing for really good things for you.
I'm tired of feeling so down all the time,I'm wishing for really good things for you.
I'm out of sorts,I'm wishing for really good things for you.
I'm tired of feeling so downhearted all the time,I'm wishing for really good things for you.
I'm tired of feeling so gloomy all the time,I'm wishing for really good things for you.
I'm tired of feeling so glum all the time,I'm wishing for really good things for you.
I'm tired of feeling so inconsolable all the time,I'm wishing for really good things for you.
I'm tired of feeling so melancholy all the time,I'm wishing for really good things for you.
I'm tired of feeling so miserable all the time,I'm wishing for really good things for you.
I'm tired of feeling so despondent all the time,I'm wishing for really good things for you.
I'm inconsolable today,I'm wishing for really good things for you.
My life is sad,I'm wishing for really good things for you.
I'm gloomy,I'm wishing for really good things for you.
I'm gloomy today,I'm wishing for really good things for you.
I'm glum,I'm wishing for really good things for you.
I'm glum today,I'm wishing for really good things for you.
I'm heartbroken,I'm wishing for really good things for you.
I'm sad,I'm wishing for really good things for you.
I'm in despair today,I'm wishing for really good things for you.
I'm really sad,I'm wishing for really good things for you.
I'm inconsolable,I'm wishing for really good things for you.
I'm just feeling a bit sad today,I'm wishing for really good things for you.
I'm melancholy,I'm wishing for really good things for you.
I'm melancholy today,I'm wishing for really good things for you.
I'm miserable today,I'm wishing for really good things for you.
I'm miserable,I'm wishing for really good things for you.
I'm unhappy,I'm wishing for really good things for you.
I'm in despair,I'm wishing for really good things for you.
My life is so sad,I'm wishing for really good things for you.
I'm tired of feeling so sad all the time,I'm wishing for really good things for you.
Life always sucks,I'm wishing for really good things for you.
Life is depressing,I'm wishing for really good things for you.
Life is heartbreaking,I'm wishing for really good things for you.
Life is miserable,I'm wishing for really good things for you.
Life is sad,I'm wishing for really good things for you.
Lately I've been so sad,I'm wishing for really good things for you.
my life is depressing,I'm wishing for really good things for you.
Lately I've been so miserable,I'm wishing for really good things for you.
My spirits are terrible,I'm wishing for really good things for you.
My life is miserable,I'm wishing for really good things for you.
Sad day today,I'm wishing for really good things for you.
Sometimes I feel bummed out,I'm wishing for really good things for you.
Sometimes I just feel sad,I'm wishing for really good things for you.
This week has made me sad,I'm wishing for really good things for you.
Today has been a trying day,I'm wishing for really good things for you.
"Listen, I'm just sad",I'm wishing for really good things for you.
Lately I've been so despondent,I'm wishing for really good things for you.
I'm feeling woeful,I'm wishing for really good things for you.
I'm unhappy today,I'm wishing for really good things for you.
I've been sad all day,I'm wishing for really good things for you.
Just feeling a tad down,I'm wishing for really good things for you.
Lately I've been so blue,I'm wishing for really good things for you.
Lately I've been so broken hearted,I'm wishing for really good things for you.
Lately I've been so unhappy,I'm wishing for really good things for you.
Lately I've been so despairing,I'm wishing for really good things for you.
I'm tired of feeling so unhappy all the time,I'm wishing for really good things for you.
Lately I've been so down,I'm wishing for really good things for you.
Lately I've been so downcast,I'm wishing for really good things for you.
Lately I've been so downhearted,I'm wishing for really good things for you.
Lately I've been so gloomy,I'm wishing for really good things for you.
Lately I've been so glum,I'm wishing for really good things for you.
Lately I've been so inconsolable,I'm wishing for really good things for you.
Lately I've been so melancholy,I'm wishing for really good things for you.
Lately I've been so dejected,I'm wishing for really good things for you.
I think I'm going to overdose,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I think I'm going to drown,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I think I'm going to end it all,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I think I'm going to end my life,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I think I'm going to hang myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I think I'm going to hurt myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I think I'm going to jump off a bridge,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I want to drown,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I think I'm going to kill myself with a gun,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I think I'm going to commit suicide,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I think I'm going to shoot myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I think I'm going to take pills,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I want the pain to end,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I want to be dead,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I want to commit suicide,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I want to cut myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to kill myself today,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I think I'm going to kill myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to shoot myself this month,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
Being dead would be a relief,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to kill myself with a gun this month,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to kill myself with a gun this week,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to kill myself with a gun today,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to overdose soon,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to overdose this month,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to overdose this week,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I think I'm going to die,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to shoot myself soon,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I think I'm going to cut myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to shoot myself this week,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to shoot myself today,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to take pills soon,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to take pills this month,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to take pills this week,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to take pills today,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I want to end it all,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to overdose today,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm better off dead,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm about to hang myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm about to hurt myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm about to jump off a bridge,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm about to kill myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm about to kill myself with a gun,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm about to overdose,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I want to die,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm about to take pills,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm about to drown,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm feeling suicidal,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm going to be dead soon,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm going to commit suicide,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm going to commit suicide soon,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm going to commit suicide this month,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm going to commit suicide this week,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm going to commit suicide today,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm about to shoot myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I welcome death,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I want to end my life,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I want to hang myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I want to hurt myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I want to jump off a bridge,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I want to kill myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I want to kill myself with a gun,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I want to overdose,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm about to end my life,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I want to shoot myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm about to end it all,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I wish I were dead,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I won't be alive much longer,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'd be better off dead,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm about to commit suicide,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm about to cut myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm about to die,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to kill myself this week,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I want to overdose on pills,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I need to hurt myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I need the pain to end,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I need to commit suicide,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I need to cut myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I need to die,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I need to drown,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I need to end it all,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I plan to commit suicide this month,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I need to hang myself,The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
